Name,Address,Rating,Reviews,Place_ID,Types,Website,Est_Stores,Outreach_Status,Notes
Defranco Concept Store,"Av. Pdte. Masaryk 295, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",4.5,53,ChIJSzMPS8AD0oURZC6WCaYGBe4,"department_store,point_of_interest,clothing_store",,,New,
Roca Boutique Masaryk,"Av. Pdte. Masaryk 393, Polanco, Polanco III, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",4.7,51,ChIJGd3fdyr_zYUROEKW3RJXHe0,"point_of_interest,clothing_store,store",,,New,
Frattina,"Av. Pdte. Masaryk 420, Polanco, Polanco III Secc, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",4.4,49,ChIJLVCC7AIC0oURVRNPgr3o9hk,"womens_clothing_store,point_of_interest,clothing_store",,,New,
Hola Mexico MX,"Av. Paseo Triunfo de la República 339-Interior Soriana, San Lorenzo, 32320 Juárez, Chih., Mexico",5,48,ChIJvwYKabVb54YR2q3qozNltu0,"clothing_store,store,point_of_interest",,,New,
De La Rosa Tulum,"Fernando Montes de Oca 36-Local 1, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",5,45,ChIJweqELHX_0YUR-87tvdikqLw,"clothing_store,jewelry_store,store",,,New,
Ropamina closet,"Cuicuilco 38, Letran Valle, Benito Juárez, 03650 Ciudad de México, CDMX, Mexico",4.9,44,ChIJqZLV81z_0YUR9Yo52usoY9Q,"womens_clothing_store,clothing_store,point_of_interest",,,New,
Someone Somewhere - Condesa,"Av Michoacán 128-1Bis, Colonia Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",4.6,41,ChIJE5Pkqjb_0YURUSqVpCNGkGE,"clothing_store,store,point_of_interest",,,New,
Viejo Amor Boutique Condesa,"C. Atlixco 81, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",4.5,39,ChIJ76fnlEP_0YUResELUkw5dnI,"clothing_store,store,point_of_interest",,,New,
Zegna Boutique Masaryk,"Av. Pdte. Masaryk 420-A, Polanco, Polanco III Secc, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",4.7,39,ChIJV_vgnP8D0oUR5ZBjODswZ-8,"shoe_store,point_of_interest,clothing_store",,,New,
Casa Mandarine,"Zamora 80, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",5,38,ChIJl9StjNT_0YURGRZXP0PEw-g,"clothing_store,jewelry_store,store",,,New,
Coyoacan a la Moda,"Moctezuma 126, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",5,37,ChIJ0egLjKb_0YURy1BEST6li_c,"clothing_store,store,point_of_interest",,,New,
Le comptoir de Lou,"Jojutla 49, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",5,36,ChIJ3RfEjAr_0YURa1ZSu6lgVUE,"womens_clothing_store,clothing_store,store",,,New,
ZII ROPA,"Tabasco 61, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.8,36,ChIJ_b4QKu3_0YUROFiBq0PmsrI,"clothing_store,store,point_of_interest",,,New,
Old Skull Boutique,"Cto. Interior Mtro. José Vasconcelos 172, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",4.8,34,ChIJJwB17zj_0YURR1YzYnLjLHs,"clothing_store,womens_clothing_store,store",,,New,
PAY'S store,"C. Marsella 59, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.8,34,ChIJZXHcaCz_0YURWfQB0Rn1HXI,"clothing_store,store,point_of_interest",,,New,
Raquel Orozco,"Av. Emilio Castelar 227-B, Polanco, Polanco III Secc, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",4.4,33,ChIJ73rXNR0C0oURpWZob7kdg3o,"point_of_interest,clothing_store,store",,,New,
KUKITOS Polanco.,"Temístocles 246-Local 2, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",4.5,33,ChIJYX2uxgAC0oURUZHWIbkeIkg,"point_of_interest,clothing_store,store",,,New,
Boutique fashion Underground,"Av. Insurgentes Sur 300-local 13, Centro Urbano Pdte. Juárez, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.9,33,ChIJk8Tw0jj_0YURAOwNQFb6S1Q,"clothing_store,store,point_of_interest",,,New,
YOKO Butik,"Colima 76, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",5,32,ChIJZ8TG_y__0YURulalqIs29eo,"clothing_store,jewelry_store,supplier",,,New,
Cléa Boutique,"Av. Coyoacán 1060, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",5,30,ChIJVwcoAR3_0YUR9bBkFnKd8E4,"womens_clothing_store,clothing_store,store",,,New,
Perfetta Boutique,"Ignacio Aldama 26, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",4,30,ChIJH59J2sP_0YURuasfW4jxCbY,"womens_clothing_store,clothing_store,store",,,New,
Kloer Boutique,"Colima 370, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.6,28,ChIJoacNu0f_0YURomZ7mGwrryg,"womens_clothing_store,clothing_store,store",,,New,
Kettal Boutique,"Aristóteles 81, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",4.3,24,ChIJWUhAYv8B0oURAV7xjHMUW3A,"point_of_interest,clothing_store,store",,,New,
CONCEPTIC.A,"Av Coyoacán. 502 -D, Del Valle norte, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX, Mexico",5,23,ChIJX681Jkv_0YURVe7IV-_6WFI,"clothing_store,store,point_of_interest",,,New,
Fábrica Social,"C. Dinamarca 66, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.8,23,ChIJwZq2eDD_0YURVixTL-pvqTo,"clothing_store,store,point_of_interest",,,New,
BCBGMaxazria Altavista,"Av. Altavista 147, San Ángel Inn, Álvaro Obregón, 01060 Ciudad de México, CDMX, Mexico",4.5,23,ChIJB5xn9u8B0oURM0qsSqc9w0E,"clothing_store,store,point_of_interest",,,New,
Adri R Boutique,"Benito Juárez 110, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",4.8,23,ChIJJQWf5LcBzoURngd6QJLCXD0,"clothing_store,point_of_interest,store",,,New,
The Erre Vintage Condesa,"Av Sonora 178, Roma Nte., Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",4.8,22,ChIJy7NbZAD_0YUR33zSb6sUkA4,"clothing_store,store,point_of_interest",,,New,
Macario Jiménez,"Monte Líbano 250, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",4.6,22,ChIJW-6IFB0C0oUR_XiIHvqhMg4,"womens_clothing_store,clothing_store,store",,,New,
Balbina Concept Store CDMX,"Avenida Prado Norte 400, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",4.7,21,ChIJ03Iz5zMB0oUR3L5innMbSpQ,"point_of_interest,clothing_store,store",,,New,
KRACK,"C. Génova 65, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",5,21,ChIJC1y1nTb_0YURz1JpeQacFyY,"shoe_store,clothing_store,store",,,New,
Jira Preloved San Angel,"Desierto de los Leones 52, Planta Alta, Local G1 Amarillo, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.1,21,ChIJG9wNCdkB0oURSw24uo79nYk,"clothing_store,store,point_of_interest",,,New,
Uresti Couture Boutique,"Pedro Romero de Terreros 1159, Narvarte Poniente, Benito Juárez, 03200 Ciudad de México, CDMX, Mexico",4.7,19,ChIJ1Q9_CQf_0YURGC2gPm1VsdU,"womens_clothing_store,clothing_store,point_of_interest",,,New,
More Boutique Condesa,"Ámsterdam 36, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",3.4,18,ChIJQ_vder3_0YURSWX1MV2FOYc,"clothing_store,store,point_of_interest",,,New,
ANATOLA DRESS SHOP,"Avenida Prado Norte 450, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",4.8,16,ChIJj6YxqI0B0oURlxrC49xyP_g,"clothing_store,store,point_of_interest",,,New,
Silvia Purinzón,"Av. Homero 1405, Polanco, Polanco II Secc, Miguel Hidalgo, 11530 Ciudad de México, CDMX, Mexico",5,14,ChIJ_3KhaUQD0oURusmNUpNYe9I,"womens_clothing_store,point_of_interest,clothing_store",,,New,
Max Mara,"Av. Altavista 147, San Ángel Inn, Álvaro Obregón, 01060 Ciudad de México, CDMX, Mexico",4.4,14,ChIJnVkbahsA0oURVBA5ysPUfWw,"womens_clothing_store,clothing_store,store",,,New,
IKL Boutique Polanco,"Av Moliere 129-Local D, Polanco, Polanco II Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",3.4,12,ChIJRfjjqV8D0oURvXcR352VnJM,"clothing_store,point_of_interest,store",,,New,
La Petite Boutique,"Zamora 154, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",4.6,11,ChIJ_xn2y0T_0YURVjAGBw4y2ms,"clothing_store,store,point_of_interest",,,New,
Casa Eli,"Zamora 165, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",5,11,ChIJIYtQ56f_0YUR-QLxPxBo_XU,"womens_clothing_store,clothing_store,jewelry_store",,,New,
Kissu Kissu,"C. Génova 166, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.7,11,ChIJ7x-XGcL_0YURflJR0xcYSEM,"clothing_store,store,point_of_interest",,,New,
STAX,"Av. Insurgentes Sur 4177, Sta Úrsula Xitla, Tlalpan, 14420 Ciudad de México, CDMX, Mexico",4.9,10,ChIJT4EGwvIBzoURf2obcNIKN1w,"clothing_store,womens_clothing_store,shoe_store",,,New,
Boutique de Ropa en Polanco Silvia Purinzon,"Av. Homero 136, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",5,9,ChIJD9tFc6z40YURMV8GLDi1MXo,"clothing_store,point_of_interest,store",,,New,
Mad Woman Concept Store,"Av. Mazatlan 159, Colonia Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",4.5,8,ChIJD4roln7_0YURFl3fYHKGaUQ,"clothing_store,womens_clothing_store,store",,,New,
Belmon San Angel,"Dr. Gálvez 71, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.8,8,ChIJH_TAnwIA0oURNf-3ZuaqCdY,"clothing_store,store,point_of_interest",,,New,
MULIER CONCEPT STORE,"Avenida Prado Norte 543, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",4.9,8,ChIJncSS3YoB0oURbW1rcemVl0M,"clothing_store,womens_clothing_store,store",,,New,
Blue Corner Polanco,"Av. Pdte. Masaryk 360B, Polanco, Polanco III Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",4.1,7,ChIJA4l4FAIC0oUR_iEPh2JuFQY,"point_of_interest,clothing_store,store",,,New,
Demetria,"Volcán 215, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",4.3,7,ChIJLWoxARkB0oURbuZpqWWAK54,"womens_clothing_store,clothing_store,store",,,New,
"Boutique ""Aly""","Rey Topiltzin Mz. 65 Lt. 18 Local A, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX, Mexico",5,5,ChIJ7ZAoUTsAzoURxfD3k3JEzjs,"clothing_store,store,point_of_interest",,,New,
Mexique Boutique,"C. de la Amargura 17-local 1, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",3.6,5,ChIJmY2jkwIA0oURH1vkEaCLegw,"clothing_store,store,point_of_interest",,,New,
VIDA ROPA A TU MEDIDA,"Cam. a Sta. Fe, Sta Fé IMSS, Álvaro Obregón, 01150 Ciudad de México, CDMX, Mexico",4,4,ChIJlwxeR8kB0oURFq8NYhf-Bt4,"womens_clothing_store,clothing_store,point_of_interest",,,New,
Boutique 108,"Avenida Lomas Verdes 640-Local 17, Cd. Satélite, 53217 Naucalpan de Juárez, Méx., Mexico",4.8,4,ChIJ1eMKdjsD0oURuiZP-e9e70U,"clothing_store,store,point_of_interest",,,New,
El Ropero de Frida,"local 340 Xicotencatl s/n mercado Coyoacán entre Allende y Abasolo col. el Carmen Coyoacan, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",5,3,ChIJHwB5XS7_0YURly41xu9xRJg,"clothing_store,store,point_of_interest",,,New,
La Coupole,"Calz Sta Catarina 207-Local A Planta Baja, San Ángel Inn, Álvaro Obregón, 01050 Ciudad de México, CDMX, Mexico",5,3,ChIJ4ayJFRsA0oUR2IYuMCMDsUo,"womens_clothing_store,clothing_store,store",,,New,
Boutique Ropa Bad Decisions,"Av. de la Paz 40, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4,2,ChIJAb6eKM7_0YURmAMhZieWGug,"womens_clothing_store,clothing_store,store",,,New,
Posh concept store,"Av. Stim 1286, Lomas del Chamizal, Cuajimalpa de Morelos, 05120 Ciudad de México, CDMX, Mexico",5,2,ChIJWx_apZ4B0oURc8e5Zx2WF4M,"clothing_store,store,point_of_interest",,,New,
Boutique Lily,"San Cástulo 30, Pedregal de Santa Úrsula, Local 232, Coapa, Coyoacán, 04600 Ciudad de México, CDMX, Mexico",5,1,ChIJXZp2enYBzoUR5bVyyxW5tqg,"clothing_store,store,point_of_interest",,,New,
982 BOUTIQUE,"Av. de la Paz 40-Local 111, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",5,1,ChIJ502yE_j_0YURRLZGh7cTON4,"clothing_store,store,point_of_interest",,,New,
My Fashion Boutique,"Avenida Prado Norte 460, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",5,1,ChIJa9T2jksB0oURL-rebn7wG-Y,"clothing_store,store,point_of_interest",,,New,
Fashion Boutique Coyoacán,"Av Miguel Hidalgo 43, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",,,ChIJPStUqor_0YURHFlBMkHn8KY,"store,point_of_interest,establishment",,,New,
